op	Tax
operon100_125	Corynebacterium_pseudotuberculosis
operon100_126	Campylobacter_coli
operon100_127	Acinetobacter_baumannii
operon100_128	Acinetobacter_baumannii
operon100_129	Acinetobacter_baumannii
operon100_130	Staphylococcus_aureus
operon100_131	Escherichia_coli
operon100_132	Streptococcus_pneumoniae
operon100_133	Acinetobacter_baumannii
operon100_134	Mycobacterium_tuberculosis
operon100_135	Chlamydia_psittaci
operon100_136	Campylobacter_jejuni
operon100_137	Streptococcus_pneumoniae
operon100_138	Mycobacterium_abscessus
operon100_139	Pseudomonas_aeruginosa
operon100_140	Streptococcus_pneumoniae
operon100_141	Mycobacterium_tuberculosis
operon100_142	Brucella_abortus
operon100_143	Escherichia_coli
operon100_144	Klebsiella_oxytoca
operon100_145	Streptococcus_pneumoniae
operon100_146	Listeria_monocytogenes
operon100_147	Streptococcus_pneumoniae
operon100_148	Streptococcus_pyogenes
operon100_149	Staphylococcus_aureus
operon100_150	Streptococcus_gallolyticus
operon100_151	Streptococcus_pneumoniae
operon100_152	Streptococcus_pneumoniae
operon100_153	Bacillus_thuringiensis
operon100_154	Streptococcus_pneumoniae
operon100_155	Streptococcus_pneumoniae
operon100_156	Mycobacterium_abscessus
operon100_157	Pseudomonas_aeruginosa
operon100_158	Staphylococcus_aureus
operon100_159	Propionibacterium_acnes
operon100_160	Oenococcus_oeni
operon100_161	Streptococcus_pneumoniae
operon100_162	Pseudomonadaceae_bacterium
operon100_163	Staphylococcus_aureus
operon100_164	Streptococcus_pneumoniae
operon100_165	Streptococcus_pneumoniae
operon100_166	Streptococcus_pneumoniae
operon100_167	Pseudomonas_aeruginosa
operon100_168	Staphylococcus_aureus
operon100_169	Staphylococcus_aureus
operon100_170	Streptococcus_pneumoniae
operon100_171	Escherichia_coli
operon100_172	Staphylococcus_aureus
operon100_173	Staphylococcus_aureus
operon100_174	Staphylococcus_aureus
operon100_175	Neisseria_gonorrhoeae
operon100_176	Streptococcus_pneumoniae
operon100_177	Campylobacter_jejuni
operon100_178	Streptococcus_pneumoniae
operon100_179	Streptococcus_agalactiae
operon100_180	Escherichia_coli
operon100_181	Neisseria_meningitidis
operon100_182	Streptococcus_pyogenes
operon100_183	Mycobacterium_immunogenum
operon100_184	Streptococcus_agalactiae
operon100_185	Escherichia_coli
operon100_186	Campylobacter_jejuni
operon100_187	Streptococcus_pneumoniae
operon100_188	Listeria_monocytogenes
operon100_189	Chromobacterium_violaceum
operon100_190	Escherichia_coli
operon100_191	Campylobacter_coli
operon100_192	Staphylococcus_aureus
operon100_193	Pseudomonas_aeruginosa
operon100_194	Burkholderia_pseudomallei
operon100_195	Neisseria_meningitidis
operon100_196	Staphylococcus_aureus
operon100_197	Clostridium_acetobutylicum
operon100_198	Staphylococcus_aureus
operon100_199	Staphylococcus_aureus
operon100_200	Klebsiella_pneumoniae
operon100_201	Aeromonas_hydrophila
operon100_202	Acinetobacter_baumannii
operon100_203	Acinetobacter_baumannii
operon100_204	Staphylococcus_aureus
operon100_205	Francisella_tularensis
operon100_206	Variovorax_paradoxus
operon100_207	Enterococcus_faecalis
operon100_208	Bordetella_bronchiseptica
operon100_209	Streptococcus_pneumoniae
operon100_210	Streptococcus_pneumoniae
operon100_211	Escherichia_coli
operon100_212	Staphylococcus_aureus
operon100_213	Staphylococcus_aureus
operon100_214	Streptococcus_pneumoniae
operon100_215	Acinetobacter_baumannii
operon100_216	Klebsiella_pneumoniae
operon100_217	Streptococcus_pneumoniae
operon100_218	Streptococcus_pneumoniae
operon100_219	Bacillus_anthracis
operon100_220	Bifidobacterium_animalis
operon100_221	Bacillus_anthracis
operon100_222	Bacillus_anthracis
operon100_223	Streptococcus_pneumoniae
operon100_224	Bacillus_anthracis
operon100_225	Brucella_melitensis
operon100_226	Streptococcus_pneumoniae
operon100_227	Bacillus_amyloliquefaciens
operon100_228	Enterococcus_faecalis
operon100_229	Streptococcus_agalactiae
operon100_230	Bacillus_anthracis
operon100_231	Neisseria_meningitidis
operon100_232	Staphylococcus_aureus
operon100_233	Bacillus_anthracis
operon100_234	Bacillus_anthracis
operon100_235	Streptococcus_pneumoniae
operon100_236	Acinetobacter_baumannii
operon100_237	Streptococcus_pneumoniae
operon100_238	Escherichia_coli
operon100_239	Streptococcus_pneumoniae
operon100_240	Mycobacterium_tuberculosis
operon100_241	Pseudomonas_aeruginosa
operon100_242	Bacillus_anthracis
operon100_243	Bacillus_anthracis
operon100_244	Enterococcus_faecalis
operon100_245	Streptococcus_pyogenes
operon100_246	Staphylococcus_aureus
operon100_247	Staphylococcus_aureus
operon100_248	Streptococcus_pneumoniae
operon100_249	Bartonella_henselae
operon100_250	Streptococcus_pneumoniae
operon100_251	Acinetobacter_baumannii
operon100_252	Mycobacterium_tuberculosis
operon100_253	Klebsiella_pneumoniae
operon100_254	Bacillus_thuringiensis
operon100_255	Enterococcus_faecalis
operon100_256	Staphylococcus_aureus
operon100_257	Streptococcus_pneumoniae
operon100_258	Capnocytophaga_sp
operon100_259	Escherichia_coli
operon100_260	Streptococcus_pneumoniae
operon100_261	Enterococcus_faecalis
operon100_262	Streptococcus_agalactiae
operon100_263	Chlamydia_muridarum
operon100_264	Erysipelothrix_rhusiopathiae
operon100_265	Klebsiella_pneumoniae
operon100_266	Streptococcus_agalactiae
operon100_267	Burkholderia_pseudomallei
operon100_268	Propionibacterium_acnes
operon100_269	Burkholderia_stagnalis
operon100_270	Streptococcus_pneumoniae
operon100_271	Listeria_monocytogenes
operon100_272	Pseudomonas_aeruginosa
operon100_273	Bacillus_cereus
operon100_274	Neisseria_meningitidis
operon100_275	Acinetobacter_baumannii
operon100_276	Neisseria_gonorrhoeae
operon100_277	Bacillus_anthracis
operon100_278	Bartonella_quintana
operon100_279	Streptococcus_pneumoniae
operon100_280	Acinetobacter_sp
operon100_281	Mycobacterium_tuberculosis
operon100_282	Acinetobacter_baumannii
operon100_283	Mycobacterium_abscessus
operon100_284	Bacillus_anthracis
operon100_285	Candidatus_Liberibacter
operon100_286	Staphylococcus_aureus
operon100_287	Mycobacterium_tuberculosis
operon100_288	Yersinia_pestis
operon100_289	Neisseria_meningitidis
operon100_290	Staphylococcus_aureus
operon100_291	Mycobacterium_tuberculosis
operon100_292	Staphylococcus_aureus
operon100_293	Sphingopyxis_sp
operon100_294	Burkholderia_ubonensis
operon100_295	Streptococcus_pneumoniae
operon100_296	Acinetobacter_baumannii
operon100_297	Pseudomonas_aeruginosa
operon100_298	Acinetobacter_baumannii
operon100_299	Klebsiella_pneumoniae
operon100_300	Staphylococcus_aureus
operon100_301	Pseudomonas_aeruginosa
operon100_302	Yersinia_pestis
operon100_303	Streptococcus_agalactiae
operon100_304	Staphylococcus_aureus
operon100_305	Lactobacillus_plantarum
operon100_306	Staphylococcus_aureus
operon100_307	Streptococcus_agalactiae
operon100_308	Acinetobacter_sp
operon100_309	Escherichia_coli
operon100_310	Lactococcus_lactis
operon100_311	Streptococcus_pneumoniae
operon100_312	Staphylococcus_aureus
operon100_313	Bacteroides_fragilis
operon100_314	Streptococcus_agalactiae
operon100_315	Chlamydia_pneumoniae
operon100_316	Acinetobacter_baumannii
operon100_317	Azotobacter_vinelandii
operon100_318	Acinetobacter_baumannii
operon100_319	Streptococcus_pneumoniae
operon100_320	Campylobacter_coli
operon100_321	Acinetobacter_baumannii
operon100_322	Bacillus_amyloliquefaciens
operon100_323	Xanthomonas_perforans
operon100_324	Acinetobacter_baumannii
operon100_325	Xanthomonas_oryzae
operon100_326	Escherichia_coli
operon100_327	Piscirickettsia_salmonis
operon100_328	Escherichia_coli
operon100_329	Bacillus_methylotrophicus
operon100_330	Streptococcus_agalactiae
operon100_331	Streptococcus_pneumoniae
operon100_332	Streptococcus_gallolyticus
operon100_333	Mycobacterium_tuberculosis
operon100_334	Acinetobacter_baumannii
operon100_335	Melissococcus_plutonius
operon100_336	Bacteroides_fragilis
operon100_337	Shigella_flexneri
operon100_338	Campylobacter_jejuni
operon100_339	Parabacteroides_merdae
operon100_340	Acinetobacter_brisouii
operon100_341	Mycoplasma_pneumoniae
operon100_342	Bacillus_subtilis
operon100_343	Xanthomonas_arboricola
operon100_344	Acinetobacter_baumannii
operon100_345	Staphylococcus_aureus
operon100_346	Escherichia_coli
operon100_347	Streptococcus_pneumoniae
operon100_348	Campylobacter_jejuni
operon100_349	Staphylococcus_aureus
operon100_350	Staphylococcus_aureus
operon100_351	Xanthomonas_campestris
operon100_352	Streptococcus_pneumoniae
operon100_353	Streptococcus_agalactiae
operon100_354	Escherichia_coli
operon100_355	Escherichia_coli
operon100_356	Acinetobacter_baumannii
operon100_357	Acinetobacter_sp
operon100_358	Streptococcus_infantarius
operon100_359	Acinetobacter_baumannii
operon100_360	Streptococcus_pneumoniae
operon100_361	Oenococcus_oeni
operon100_362	Methylobacterium_nodulans
operon100_363	Staphylococcus_aureus
operon100_364	Mycobacterium_abscessus
operon100_365	Bartonella_quintana
operon100_366	Bacillus_bombysepticus
operon100_367	Lactococcus_lactis
operon100_368	Escherichia_coli
operon100_369	Bacillus_sp
operon100_370	Bacillus_smithii
operon100_371	Streptococcus_pneumoniae
operon100_372	Acinetobacter_baumannii
operon100_373	Acinetobacter_baumannii
operon100_374	Escherichia_coli
operon100_375	Escherichia_coli
operon100_376	Mycobacterium_abscessus
operon100_377	Staphylococcus_aureus
operon100_378	Pseudomonas_aeruginosa
operon100_379	Klebsiella_oxytoca
operon100_380	Acinetobacter_baumannii
operon100_381	Streptococcus_pneumoniae
operon100_382	Staphylococcus_aureus
operon100_383	Streptococcus_agalactiae
operon100_384	Streptococcus_pneumoniae
operon100_385	Staphylococcus_aureus
operon100_386	Acinetobacter_baumannii
operon100_387	Pseudomonas_monteilii
operon100_388	Burkholderia_pseudomallei
operon100_389	Acinetobacter_baumannii
operon100_390	Acetobacter_pasteurianus
operon100_391	Neisseria_meningitidis
operon100_392	Neisseria_meningitidis
operon100_393	Propionibacterium_sp
operon100_394	Staphylococcus_aureus
operon100_395	Campylobacter_jejuni
operon100_396	Mycobacterium_sp
operon100_397	Mannheimia_haemolytica
operon100_398	Staphylococcus_aureus
operon100_399	Neisseria_meningitidis
operon100_400	Kocuria_kristinae
operon100_401	Staphylococcus_aureus
operon100_402	Bacillus_subtilis
operon100_403	Clostridium_botulinum
operon100_404	Acinetobacter_baumannii
operon100_405	Bacillus_subtilis
operon100_406	Acinetobacter_baumannii
operon100_407	Streptococcus_pneumoniae
operon100_408	Streptococcus_pneumoniae
operon100_409	Streptococcus_pneumoniae
operon100_410	Acinetobacter_baumannii
operon100_411	Streptococcus_salivarius
operon100_412	Haemophilus_influenzae
operon100_413	Acinetobacter_johnsonii
operon100_414	Lactococcus_lactis
operon100_415	Pseudomonas_aeruginosa
operon100_416	Flavobacterium_psychrophilum
operon100_417	Francisella_tularensis
operon100_418	Gallibacterium_anatis
operon100_419	Streptococcus_sanguinis
operon100_420	Psychrobacter_sp
operon100_421	Synechocystis_sp
operon100_422	Streptococcus_infantarius
operon100_423	Acinetobacter_baumannii
operon100_424	Streptococcus_salivarius
operon100_425	Acinetobacter_baumannii
operon100_426	Arcobacter_butzleri
operon100_427	Acinetobacter_baumannii
operon100_428	Staphylococcus_aureus
operon100_429	Streptococcus_agalactiae
operon100_430	Bacillus_anthracis
operon100_431	Staphylococcus_aureus
operon100_432	Streptococcus_pneumoniae
operon100_433	Acinetobacter_baumannii
operon100_434	Halobacillus_trueperi
operon100_435	Acinetobacter_baumannii
operon100_436	Acetobacter_pasteurianus
operon100_437	Lactococcus_lactis
operon100_438	Listeria_monocytogenes
operon100_439	Chlamydia_muridarum
operon100_440	Staphylococcus_aureus
operon100_441	Streptococcus_pyogenes
operon100_442	Pseudomonas_aeruginosa
operon100_443	Streptococcus_pneumoniae
operon100_444	Acinetobacter_sp
operon100_445	Mycobacterium_abscessus
operon100_446	Streptococcus_salivarius
operon100_447	Streptococcus_pneumoniae
operon100_448	Neisseria_gonorrhoeae
operon100_449	Lactococcus_garvieae
operon100_450	Pseudomonas_aeruginosa
operon100_451	Clostridium_pasteurianum
operon100_452	Streptococcus_suis
operon100_453	Streptococcus_pyogenes
operon100_454	Staphylococcus_aureus
operon100_455	Staphylococcus_aureus
operon100_456	Streptococcus_pneumoniae
operon100_457	Methylobacterium_extorquens
operon100_458	Pseudonocardia_sp
operon100_459	Staphylococcus_aureus
operon100_460	Brucella_melitensis
operon100_461	Burkholderia_sp
operon100_462	Francisella_tularensis
operon100_463	Corynebacterium_variabile
operon100_464	Flavobacterium_psychrophilum
operon100_465	Streptococcus_pneumoniae
operon100_466	Streptococcus_pneumoniae
operon100_467	Neisseria_gonorrhoeae
operon100_468	Pseudomonas_aeruginosa
operon100_469	Escherichia_coli
operon100_470	Mycobacterium_tuberculosis
operon100_471	Escherichia_coli
operon100_472	Streptococcus_agalactiae
operon100_473	Bifidobacterium_catenulatum
operon100_474	Escherichia_coli
operon100_475	Flavobacterium_psychrophilum
operon100_476	Flavobacterium_psychrophilum
operon100_477	Neisseria_meningitidis
operon100_478	Bifidobacterium_kashiwanohense
operon100_479	Bacillus_subtilis
operon100_480	Bacillus_subtilis
operon100_481	Bacillus_subtilis
operon100_482	Acinetobacter_baumannii
operon100_483	Streptococcus_pneumoniae
operon100_484	Streptococcus_lutetiensis
operon100_485	Pseudomonas_aeruginosa
operon100_486	Neisseria_meningitidis
operon100_487	Streptococcus_agalactiae
operon100_488	Streptococcus_thermophilus
operon100_489	Bifidobacterium_longum
operon100_490	Bacillus_amyloliquefaciens
operon100_491	Acinetobacter_baumannii
operon100_492	Enterococcus_faecalis
operon100_493	Neisseria_meningitidis
operon100_494	Bacillus_sp
operon100_495	Pseudomonas_aeruginosa
operon100_496	Acinetobacter_baumannii
operon100_497	Flavobacterium_psychrophilum
operon100_498	Listeria_monocytogenes
operon100_499	Bacillus_subtilis
operon100_500	Yersinia_pestis
operon100_501	Piscirickettsia_salmonis
operon100_502	Pandoraea_apista
operon100_503	Listeria_monocytogenes
operon100_504	Acinetobacter_sp
operon100_505	Xanthomonas_perforans
operon100_506	Streptococcus_agalactiae
operon100_507	Pasteurella_multocida
operon100_508	Streptococcus_agalactiae
operon100_509	Streptococcus_pneumoniae
operon100_510	Chlamydia_trachomatis
operon100_511	Arthrobacter_sp
operon100_512	Streptococcus_pneumoniae
operon100_513	Xanthomonas_gardneri
operon100_514	Streptococcus_pneumoniae
operon100_515	Streptococcus_pyogenes
operon100_516	Moritella_viscosa
operon100_517	Acinetobacter_baumannii
operon100_518	Streptococcus_agalactiae
operon100_519	Streptococcus_pneumoniae
operon100_520	Escherichia_coli
operon100_521	Acinetobacter_junii
operon100_522	Burkholderia_pseudomallei
operon100_523	Escherichia_coli
operon100_524	Streptococcus_pneumoniae
operon100_525	Neisseria_meningitidis
operon100_526	Staphylococcus_aureus
operon100_527	Neisseria_meningitidis
operon100_528	Escherichia_coli
operon100_529	Neisseria_meningitidis
operon100_530	Lactococcus_lactis
operon100_531	Streptococcus_mutans
operon100_532	Leuconostoc_gelidum
operon100_533	Streptococcus_pneumoniae
operon100_534	Streptococcus_pneumoniae
operon100_535	Bordetella_hinzii
operon100_536	Pseudomonas_aeruginosa
operon100_537	Streptococcus_suis
operon100_538	Staphylococcus_aureus
operon100_539	Aeromonas_caviae
operon100_540	Staphylococcus_aureus
operon100_541	Streptococcus_pneumoniae
operon100_542	Pseudomonas_aeruginosa
operon100_543	Streptococcus_thermophilus
operon100_544	Bibersteinia_trehalosi
operon100_545	Streptococcus_mitis
operon100_546	Neisseria_meningitidis
operon100_547	Bifidobacterium_dentium
operon100_548	Arcobacter_sp
operon100_549	Streptomyces_fulvissimus
operon100_550	Acinetobacter_calcoaceticus
operon100_551	Bifidobacterium_bifidum
operon100_552	Streptococcus_salivarius
operon100_553	Acinetobacter_baumannii
operon100_554	Neisseria_meningitidis
operon100_555	Neisseria_meningitidis
operon100_556	Campylobacter_jejuni
operon100_557	Corynebacterium_pseudotuberculosis
operon100_558	Streptococcus_pneumoniae
operon100_559	Lactococcus_lactis
operon100_560	Streptococcus_pneumoniae
operon100_561	Bifidobacterium_angulatum
operon100_562	Streptococcus_pneumoniae
operon100_563	Neisseria_meningitidis
operon100_564	Haemophilus_parasuis
operon100_565	Acinetobacter_baumannii
operon100_566	Acinetobacter_baumannii
operon100_567	Rhodobacter_sphaeroides
operon100_568	Streptococcus_mutans
operon100_569	Chlamydia_trachomatis
operon100_570	Neisseria_meningitidis
operon100_571	Sphingopyxis_sp
operon100_572	Streptococcus_thermophilus
operon100_573	Neisseria_meningitidis
operon100_574	Staphylococcus_aureus
operon100_575	Bacillus_cereus
operon100_576	Neisseria_meningitidis
operon100_577	Pseudomonas_aeruginosa
operon100_578	Neisseria_gonorrhoeae
operon100_579	Bacillus_cereus
operon100_580	Streptococcus_oralis
operon100_581	Acinetobacter_baumannii
operon100_582	Acinetobacter_baumannii
operon100_583	Bacillus_sp
operon100_584	Lactococcus_lactis
operon100_585	Neisseria_meningitidis
operon100_586	Escherichia_coli
operon100_587	Staphylococcus_aureus
operon100_588	Escherichia_coli
operon100_589	Mycobacterium_tuberculosis
operon100_590	Staphylococcus_aureus
operon100_591	Mycobacterium_abscessus
operon100_592	Propionibacterium_acnes
operon100_593	Acinetobacter_baumannii
operon100_594	Parabacteroides_merdae
operon100_595	Listeria_monocytogenes
operon100_596	Bacillus_amyloliquefaciens
operon100_597	Candidatus_Arthromitus
operon100_598	Acinetobacter_baumannii
operon100_599	Mannheimia_haemolytica
operon100_600	Mycobacterium_tuberculosis
operon100_601	Xanthomonas_campestris
operon100_602	Corynebacterium_glyciniphilum
operon100_603	Streptococcus_sp
operon100_604	Staphylococcus_aureus
operon100_605	Enterococcus_faecalis
operon100_606	Streptococcus_pneumoniae
operon100_607	Staphylococcus_aureus
operon100_608	Sphingobium_baderi
operon100_609	Prevotella_oralis
operon100_610	Sphingobium_czechense
operon100_611	Escherichia_coli
operon100_612	Streptococcus_pneumoniae
operon100_613	Burkholderia_pseudomallei
operon100_614	Lactococcus_lactis
operon100_615	Shigella_dysenteriae
operon100_616	Methylobacterium_extorquens
operon100_617	Yersinia_pestis
operon100_618	Pseudomonas_amygdali
operon100_619	Arcobacter_butzleri
operon100_620	Streptococcus_pneumoniae
operon100_621	Streptococcus_pneumoniae
operon100_622	Brucella_sp
operon100_623	Streptococcus_sp
operon100_624	Glaciecola_nitratireducens
operon100_625	Geobacter_sulfurreducens
operon100_626	Granulibacter_bethesdensis
operon100_627	Streptococcus_salivarius
operon100_628	Neisseria_meningitidis
operon100_629	Mycoplasma_pneumoniae
operon100_630	Escherichia_coli
operon100_631	Bartonella_quintana
operon100_632	Streptococcus_uberis
operon100_633	Staphylococcus_aureus
operon100_634	Propionibacterium_sp
operon100_635	Neisseria_meningitidis
operon100_636	Neisseria_meningitidis
operon100_637	Staphylococcus_aureus
operon100_638	Streptococcus_pneumoniae
operon100_639	Mycobacterium_abscessus
operon100_640	Clostridium_botulinum
operon100_641	Burkholderia_pseudomallei
operon100_642	Rhodobacter_sphaeroides
operon100_643	Burkholderia_sp
operon100_644	Acinetobacter_baumannii
operon100_645	Escherichia_coli
operon100_646	Burkholderia_pseudomallei
operon100_647	Escherichia_coli
operon100_648	Yersinia_pestis
operon100_649	Neisseria_meningitidis
operon100_650	Neisseria_meningitidis
operon100_651	Acinetobacter_baumannii
operon100_652	Staphylococcus_aureus
operon100_653	Enterobacter_sp
operon100_654	Streptococcus_anginosus
operon100_655	Streptococcus_agalactiae
operon100_656	Bacteroides_salyersiae
operon100_657	Acinetobacter_baumannii
operon100_658	Streptococcus_pneumoniae
operon100_659	Bartonella_sp
operon100_660	Bartonella_quintana
operon100_661	Streptococcus_constellatus
operon100_662	Staphylococcus_aureus
operon100_663	Candidatus_Arthromitus
operon100_664	Acinetobacter_venetianus
operon100_665	Acinetobacter_sp
operon100_666	Paenibacillus_mucilaginosus
operon100_667	Actinomyces_sp
operon100_668	Burkholderia_gladioli
operon100_669	Acinetobacter_calcoaceticus
operon100_670	Streptococcus_pyogenes
operon100_671	Dechloromonas_aromatica
operon100_672	Lysobacter_sp
operon100_673	Pseudomonas_syringae
operon100_674	Escherichia_coli
operon100_675	Pseudomonas_aeruginosa
operon100_676	Enterobacter_cloacae
operon100_677	Lactobacillus_brevis
operon100_678	Citrobacter_koseri
operon100_679	Mannheimia_haemolytica
operon100_680	Escherichia_coli
operon100_681	Neisseria_gonorrhoeae
operon100_682	Arcobacter_butzleri
operon100_683	Neisseria_meningitidis
operon100_684	Streptococcus_dysgalactiae
operon100_685	Acinetobacter_baumannii
operon100_686	Bartonella_henselae
operon100_687	Neisseria_meningitidis
operon100_688	Staphylococcus_aureus
operon100_689	Streptococcus_pneumoniae
operon100_690	Neisseria_gonorrhoeae
operon100_691	Bacteroides_dorei
operon100_692	Corynebacterium_pseudotuberculosis
operon100_693	Acinetobacter_calcoaceticus
operon100_694	Streptococcus_agalactiae
operon100_695	Ketogulonicigenium_vulgare
operon100_696	Acinetobacter_sp
operon100_697	Acinetobacter_sp
operon100_698	Streptococcus_pyogenes
operon100_699	Acinetobacter_pittii
operon100_700	Pseudomonas_savastanoi
operon100_701	Acinetobacter_baumannii
operon100_702	Bartonella_henselae
operon100_703	Streptococcus_equi
operon100_704	Burkholderia_thailandensis
operon100_705	Escherichia_coli
operon100_706	Staphylococcus_aureus
operon100_707	Enterococcus_faecium
operon100_708	Acinetobacter_venetianus
operon100_709	Streptomyces_globisporus
operon100_710	Neisseria_meningitidis
operon100_711	Acinetobacter_pittii
operon100_712	Burkholderia_pseudomallei
operon100_713	Streptococcus_mutans
operon100_714	Streptococcus_agalactiae
operon100_715	Streptococcus_pneumoniae
operon100_716	Mycobacterium_abscessus
operon100_717	Mycobacterium_tuberculosis
operon100_718	Streptococcus_agalactiae
operon100_719	Burkholderia_pseudomallei
operon100_720	Pseudomonas_aeruginosa
operon100_721	Bacillus_cereus
operon100_722	Mycobacterium_senegalense
operon100_723	Streptococcus_pyogenes
operon100_724	Acinetobacter_baumannii
operon100_725	Snodgrassella_alvi
operon100_726	Streptococcus_pyogenes
operon100_727	Streptococcus_cristatus
operon100_728	Streptococcus_mitis
operon100_729	Erwinia_tracheiphila
operon100_730	Neisseria_meningitidis
operon100_731	Pseudomonas_aeruginosa
operon100_732	Bacillus_thuringiensis
operon100_733	Neisseria_meningitidis
operon100_734	Klebsiella_pneumoniae
operon100_735	Campylobacter_jejuni
operon100_736	Streptococcus_pneumoniae
operon100_737	Staphylococcus_aureus
operon100_738	Listeria_monocytogenes
operon100_739	Streptococcus_parasanguinis
operon100_740	Vibrio_parahaemolyticus
operon100_741	Acinetobacter_baumannii
operon100_742	Ralstonia_pickettii
operon100_743	Neisseria_meningitidis
operon100_744	Neisseria_meningitidis
operon100_745	Bacillus_cereus
operon100_746	Staphylococcus_aureus
operon100_747	Xanthomonas_oryzae
operon100_748	Xanthomonas_citri
operon100_749	Fusobacterium_nucleatum
operon100_750	Brucella_melitensis
operon100_751	Solitalea_canadensis
